event_date,country_id,network_id,client_id,value_usd
2022-07-05,1,60,121,64.781998
2022-07-05,1,60,122,1.200000
2022-07-05,1,60,154,0.698000
2022-07-05,1,60,174,290.291994
2022-07-05,1,60,256,14.142001
2022-07-05,1,60,302,29.200001
2022-07-05,17,10,325,0.600000
2022-07-05,17,60,71,0.655000
2022-07-05,109,10,71,0.750000
2022-07-05,109,10,73,0.340000
2022-07-05,109,10,97,0.460000
2022-07-05,109,10,104,0.480000
2022-07-05,109,10,174,0.560000
2022-07-05,109,10,275,7.410000
2022-07-05,109,10,302,0.200000
2022-07-05,109,60,71,0.900000
2022-07-05,109,60,94,1.161000
2022-07-05,109,60,95,0.720000
2022-07-05,109,60,97,0.507000
2022-07-05,109,60,121,8.595000
2022-07-05,109,60,174,3.603000
2022-07-05,109,60,189,0.225000
2022-07-05,109,60,256,1.115000
2022-07-05,213,60,189,0.600000
2022-07-06,1,10,94,11.700000
2022-07-06,1,10,104,9.200000
2022-07-06,1,10,121,2.800000
2022-07-06,1,10,122,0.150000
2022-07-06,1,10,189,0.600000
2022-07-06,1,10,256,0.600000
2022-07-06,1,60,71,14.904000
2022-07-06,1,60,94,75.299002
2022-07-06,1,60,121,64.390000
2022-07-06,1,60,174,262.960994
2022-07-06,1,60,189,6.926000
2022-07-06,1,60,256,1.000000
2022-07-06,1,60,302,38.600000
2022-07-06,17,10,71,0.860000
2022-07-06,17,60,71,1.310000
2022-07-06,109,10,71,0.300000
2022-07-06,109,10,94,0.480000
2022-07-06,109,10,97,1.150000
2022-07-06,109,10,104,0.320000
2022-07-06,109,10,174,1.400000
2022-07-06,109,10,189,0.100000
2022-07-06,109,10,256,0.200000
2022-07-06,109,10,275,8.190000
2022-07-06,109,60,71,0.600000
2022-07-06,109,60,94,1.296000
2022-07-06,109,60,95,0.720000
2022-07-06,109,60,97,0.338000
2022-07-06,109,60,121,7.716000
2022-07-06,109,60,174,3.665000
2022-07-06,109,60,189,0.527000
2022-07-06,109,60,256,0.892000
2022-07-07,1,10,71,0.730000
2022-07-07,1,10,73,1.710000
2022-07-07,1,10,94,13.650000
2022-07-07,1,10,104,8.050000
2022-07-07,1,10,121,1.400000
2022-07-07,1,60,94,84.517003
2022-07-07,1,60,97,2.112000
2022-07-07,1,60,104,1.672000
2022-07-07,1,60,121,95.013997
2022-07-07,1,60,122,1.200000
2022-07-07,1,60,174,288.372994
2022-07-07,1,60,189,3.133000
2022-07-07,1,60,256,9.428000
2022-07-07,1,60,302,53.800000
2022-07-07,17,10,97,2.000000
2022-07-07,109,10,71,0.300000
2022-07-07,109,10,73,0.170000
2022-07-07,109,10,97,0.460000
2022-07-07,109,10,104,0.480000
2022-07-07,109,10,174,0.720000
2022-07-07,109,10,256,0.100000
2022-07-07,109,10,275,6.500000
2022-07-07,109,10,302,0.100000
2022-07-07,109,60,71,0.900000
2022-07-07,109,60,73,0.100000
2022-07-07,109,60,94,0.987000
2022-07-07,109,60,95,0.960000
2022-07-07,109,60,97,0.507000
2022-07-07,109,60,121,4.758000
2022-07-07,109,60,154,0.130000
2022-07-07,109,60,174,4.675000
2022-07-07,109,60,189,0.819000
2022-07-07,109,60,256,0.892000
2022-07-07,213,60,189,1.000000
2022-07-08,1,10,73,0.570000
2022-07-08,1,10,94,23.400001
2022-07-08,1,10,104,4.600000
2022-07-08,1,10,189,0.600000
2022-07-08,1,60,94,85.223003
2022-07-08,1,60,97,2.220000
2022-07-08,1,60,121,87.161998
2022-07-08,1,60,154,0.963000
2022-07-08,1,60,174,241.729994
2022-07-08,1,60,189,4.706000
2022-07-08,1,60,256,4.714000
2022-07-08,1,60,302,50.500000
2022-07-08,17,10,71,0.860000
2022-07-08,109,10,71,0.150000
2022-07-08,109,10,73,0.340000
2022-07-08,109,10,94,0.480000
2022-07-08,109,10,97,1.150000
2022-07-08,109,10,104,0.480000
2022-07-08,109,10,174,1.400000
2022-07-08,109,10,256,0.100000
2022-07-08,109,10,275,5.590000
2022-07-08,109,10,302,0.200000
2022-07-08,109,60,71,0.300000
2022-07-08,109,60,73,0.100000
2022-07-08,109,60,94,1.892000
2022-07-08,109,60,95,0.960000
2022-07-08,109,60,97,0.338000
2022-07-08,109,60,121,7.604000
2022-07-08,109,60,154,0.130000
2022-07-08,109,60,174,3.977000
2022-07-08,109,60,256,1.115000
2022-07-08,213,60,189,0.600000
2022-07-09,1,10,71,0.730000
2022-07-09,1,10,94,19.500000
2022-07-09,1,10,95,2.000000
2022-07-09,1,10,97,0.610000
2022-07-09,1,10,104,12.650000
2022-07-09,1,10,121,2.800000
2022-07-09,1,10,189,0.600000
2022-07-09,1,60,94,88.710003
2022-07-09,1,60,97,0.632000
2022-07-09,1,60,121,70.222998
2022-07-09,1,60,174,251.820994
2022-07-09,1,60,302,41.600000
2022-07-09,109,10,71,0.150000
2022-07-09,109,10,73,0.340000
2022-07-09,109,10,94,0.240000
2022-07-09,109,10,97,1.150000
2022-07-09,109,10,104,0.480000
2022-07-09,109,10,121,0.960000
2022-07-09,109,10,174,0.840000
2022-07-09,109,10,189,0.100000
2022-07-09,109,10,256,0.100000
2022-07-09,109,10,275,7.020000
2022-07-09,109,60,71,1.500000
2022-07-09,109,60,73,0.100000
2022-07-09,109,60,94,0.909000
2022-07-09,109,60,95,0.480000
2022-07-09,109,60,97,0.338000
2022-07-09,109,60,121,9.552000
2022-07-09,109,60,154,0.130000
